,stasiun,pm10,so2,co,o3,no2,categori
0,DKI5 (Kebon Jeruk),84.0,9.0,42.0,47.0,16.0,SEDANG
1,DKI5 (Kebon Jeruk),62.0,9.0,23.0,49.0,8.0,SEDANG
2,DKI5 (Kebon Jeruk),69.0,9.0,19.0,123.0,10.0,TIDAK SEHAT
3,DKI5 (Kebon Jeruk),72.0,1.0,25.0,113.0,14.0,TIDAK SEHAT
4,DKI5 (Kebon Jeruk),54.0,9.0,25.0,72.0,10.0,SEDANG
5,DKI5 (Kebon Jeruk),63.0,9.0,19.0,63.0,8.0,SEDANG
6,DKI5 (Kebon Jeruk),38.0,0.0,16.0,21.0,8.0,BAIK
7,DKI5 (Kebon Jeruk),34.0,0.0,8.0,24.0,6.0,BAIK
8,DKI5 (Kebon Jeruk),48.0,0.0,18.0,197.0,7.0,TIDAK SEHAT
9,DKI5 (Kebon Jeruk),55.0,2.0,20.0,73.0,11.0,SEDANG
10,DKI5 (Kebon Jeruk),73.0,2.0,40.0,66.0,14.0,SEDANG
11,DKI5 (Kebon Jeruk),46.0,2.0,17.0,75.0,11.0,SEDANG
12,DKI5 (Kebon Jeruk),56.0,4.0,23.0,96.0,13.0,SEDANG
13,DKI5 (Kebon Jeruk),53.0,1.0,12.0,79.0,7.0,SEDANG
14,DKI5 (Kebon Jeruk),53.0,2.0,27.0,50.0,15.0,BAIK
15,DKI5 (Kebon Jeruk),53.0,4.0,33.0,39.0,15.0,BAIK
16,DKI5 (Kebon Jeruk),53.0,3.0,20.0,33.0,12.0,BAIK
17,DKI5 (Kebon Jeruk),53.0,2.0,26.0,73.0,13.0,SEDANG
18,DKI5 (Kebon Jeruk),53.0,2.0,44.0,32.0,13.0,BAIK
19,DKI5 (Kebon Jeruk),53.0,2.0,20.0,31.0,12.0,BAIK
20,DKI5 (Kebon Jeruk),53.0,6.0,14.0,65.0,7.0,SEDANG
21,DKI5 (Kebon Jeruk),53.0,2.0,26.0,33.0,15.0,BAIK
22,DKI5 (Kebon Jeruk),53.0,3.0,51.0,30.0,8.0,SEDANG
23,DKI5 (Kebon Jeruk),53.0,3.0,17.0,37.0,12.0,BAIK
24,DKI5 (Kebon Jeruk),53.0,2.0,26.0,40.0,14.0,BAIK
