,place,pm10,so2,co,o3,no2,AQI_category
0,Place_1,20.0,37.0,52.0,48.0,18.0,SEDANG
1,Place_1,19.0,30.0,29.0,47.0,16.0,BAIK
2,Place_1,65.0,32.0,39.0,97.0,21.0,SEDANG
3,Place_1,76.0,30.0,56.0,94.0,19.0,SEDANG
4,Place_1,59.0,30.0,45.0,62.0,17.0,SEDANG
5,Place_1,66.0,26.0,38.0,83.0,12.0,SEDANG
6,Place_1,44.0,27.0,28.0,41.0,14.0,BAIK
7,Place_1,39.0,31.0,33.0,32.0,11.0,BAIK
8,Place_1,49.0,39.0,33.0,29.0,10.0,BAIK
9,Place_1,60.0,34.0,37.0,123.0,21.0,TIDAK SEHAT
10,Place_1,71.0,5.0,42.0,86.0,19.0,SEDANG
11,Place_1,51.0,18.0,26.0,78.0,14.0,SEDANG
12,Place_1,58.0,18.0,38.0,115.0,16.0,TIDAK SEHAT
13,Place_1,60.0,18.0,28.0,104.0,16.0,TIDAK SEHAT
14,Place_1,68.0,5.0,30.0,77.0,19.0,SEDANG
15,Place_1,70.0,18.0,29.0,75.0,17.0,SEDANG
16,Place_1,59.0,5.0,28.0,71.0,20.0,SEDANG
17,Place_1,68.0,3.0,42.0,92.0,30.0,SEDANG
18,Place_1,63.0,2.0,54.0,64.0,14.0,SEDANG
19,Place_1,59.0,5.0,18.0,68.0,10.0,SEDANG
20,Place_1,53.0,5.0,30.0,68.0,20.0,SEDANG
21,Place_1,49.0,6.0,39.0,62.0,19.0,SEDANG
22,Place_1,65.0,6.0,49.0,62.0,18.0,SEDANG
23,Place_1,60.0,6.0,33.0,76.0,20.0,SEDANG
24,Place_1,55.0,4.0,29.0,70.0,14.0,SEDANG
25,Place_1,51.0,2.0,38.0,68.0,12.0,SEDANG
26,Place_1,43.0,4.0,33.0,57.0,11.0,SEDANG
27,Place_1,53.0,7.0,21.0,47.0,13.0,SEDANG
28,Place_1,45.0,4.0,20.0,41.0,10.0,BAIK
29,Place_1,38.0,3.0,31.0,54.0,13.0,SEDANG
30,Place_1,45.0,5.0,30.0,33.0,10.0,BAIK
31,Place_1,47.0,4.0,23.0,39.0,11.0,BAIK
32,Place_1,40.0,4.0,26.0,39.0,14.0,BAIK
33,Place_1,38.0,3.0,20.0,37.0,10.0,BAIK
